Mouse,Date,Trial Type,Neuron1,Neuron2,Angular Difference,Inhibitory Population,Normalization Index (NI) Neuron1,Normalization Index (NI) Neuron2,OSI Neuron1,OSI Neuron2,Exc-Exc Noise Correlation,Exc-Red Noise Correlation,Red-Red Noise Correlation
30N,62924,Grating,6,20,157.5,SST,0.2483767703573141,0.3961817661219455,0.2556881230453111,0.2916108653204953,0.0020986899749829,,
30N,62924,Grating,6,21,157.5,SST,0.2483767703573141,0.3537033707402778,0.2556881230453111,0.2455825809341067,-0.026080486013682,,
30N,62924,Grating,6,22,0.0,SST,0.2483767703573141,0.4885236292178151,0.2556881230453111,0.3251575214770621,0.002036557058764,,
30N,62924,Grating,6,23,0.0,SST,0.2483767703573141,0.3462866879211442,0.2556881230453111,0.2867028457782862,-0.0158404409413035,,
30N,62924,Grating,7,0,22.5,SST,-0.2837675635681971,0.5361993787558806,0.2594447394160984,0.1616080488150874,-0.0147781010467792,,
30N,62924,Grating,7,1,157.5,SST,-0.2837675635681971,0.67721038325484,0.2594447394160984,0.5110519944316614,0.0244395123088009,,
30N,62924,Grating,7,2,157.5,SST,-0.2837675635681971,0.4309085174608593,0.2594447394160984,0.1855950495430517,-0.0119668091011982,,
30N,62924,Grating,7,3,112.5,SST,-0.2837675635681971,-0.036003188263396,0.2594447394160984,0.3457462077623844,0.0179636862264207,,
30N,62924,Grating,7,4,112.5,SST,-0.2837675635681971,0.4406550218499901,0.2594447394160984,0.1896578437006615,,-0.022800664861099,
30N,62924,Grating,7,5,0.0,SST,-0.2837675635681971,0.4059920426721453,0.2594447394160984,0.359637859394149,0.0148199825382942,,
30N,62924,Grating,7,6,0.0,SST,-0.2837675635681971,0.2483767703573141,0.2594447394160984,0.2556881230453111,-0.0146063353069349,,
30N,62924,Grating,7,8,0.0,SST,-0.2837675635681971,0.444624935972062,0.2594447394160984,0.1797153259287722,0.0393929906229294,,
30N,62924,Grating,7,9,135.0,SST,-0.2837675635681971,0.4632259742351371,0.2594447394160984,0.2999796309564465,0.0348546464087572,,
30N,62924,Grating,7,10,0.0,SST,-0.2837675635681971,0.3243308252905618,0.2594447394160984,0.2664003535309552,-0.003819488011116,,
30N,62924,Grating,7,11,0.0,SST,-0.2837675635681971,0.139959729174956,0.2594447394160984,0.2360943618885202,-0.0150608577520872,,
30N,62924,Grating,7,12,157.5,SST,-0.2837675635681971,0.6825990889659305,0.2594447394160984,0.5925869543837662,0.0044614516375026,,
30N,62924,Grating,7,13,0.0,SST,-0.2837675635681971,0.2839460100331841,0.2594447394160984,0.2149367929585471,,-0.0226385265471651,
30N,62924,Grating,7,14,0.0,SST,-0.2837675635681971,0.4783517514001817,0.2594447394160984,0.1716294472012357,-0.0012920174677032,,
30N,62924,Grating,7,15,45.0,SST,-0.2837675635681971,0.0119829758440399,0.2594447394160984,0.2129006371669866,0.0052424282478346,,
30N,62924,Grating,7,16,67.5,SST,-0.2837675635681971,-0.0309092172009801,0.2594447394160984,0.2450767573698955,-0.0312924795719003,,
30N,62924,Grating,7,17,157.5,SST,-0.2837675635681971,0.5583661163371278,0.2594447394160984,0.2932251982958356,-0.0356267478737079,,
30N,62924,Grating,7,18,45.0,SST,-0.2837675635681971,0.4239245202589358,0.2594447394160984,0.2292250708961149,0.0138153504022966,,
30N,62924,Grating,7,19,157.5,SST,-0.2837675635681971,0.1893725397113057,0.2594447394160984,0.12705089100795,-0.0065811194230592,,
30N,62924,Grating,7,20,157.5,SST,-0.2837675635681971,0.3961817661219455,0.2594447394160984,0.2916108653204953,0.0038944334497322,,
30N,62924,Grating,7,21,157.5,SST,-0.2837675635681971,0.3537033707402778,0.2594447394160984,0.2455825809341067,-0.012101662261062,,
30N,62924,Grating,7,22,0.0,SST,-0.2837675635681971,0.4885236292178151,0.2594447394160984,0.3251575214770621,-0.0165371024107905,,
30N,62924,Grating,7,23,0.0,SST,-0.2837675635681971,0.3462866879211442,0.2594447394160984,0.2867028457782862,0.0090284389228787,,
30N,62924,Grating,8,0,22.5,SST,0.444624935972062,0.5361993787558806,0.1797153259287722,0.1616080488150874,0.0350512821003623,,
30N,62924,Grating,8,1,157.5,SST,0.444624935972062,0.67721038325484,0.1797153259287722,0.5110519944316614,0.0312354798114758,,
30N,62924,Grating,8,2,157.5,SST,0.444624935972062,0.4309085174608593,0.1797153259287722,0.1855950495430517,-0.0417442437451848,,
30N,62924,Grating,8,3,112.5,SST,0.444624935972062,-0.036003188263396,0.1797153259287722,0.3457462077623844,-0.0218745348006935,,
30N,62924,Grating,8,4,112.5,SST,0.444624935972062,0.4406550218499901,0.1797153259287722,0.1896578437006615,,0.058928143936436,
30N,62924,Grating,8,5,0.0,SST,0.444624935972062,0.4059920426721453,0.1797153259287722,0.359637859394149,0.0046739744182151,,
30N,62924,Grating,8,6,0.0,SST,0.444624935972062,0.2483767703573141,0.1797153259287722,0.2556881230453111,0.0131345754598595,,
30N,62924,Grating,8,7,0.0,SST,0.444624935972062,-0.2837675635681971,0.1797153259287722,0.2594447394160984,0.0393929906229294,,
30N,62924,Grating,8,9,135.0,SST,0.444624935972062,0.4632259742351371,0.1797153259287722,0.2999796309564465,0.0206962442441116,,
30N,62924,Grating,8,10,0.0,SST,0.444624935972062,0.3243308252905618,0.1797153259287722,0.2664003535309552,0.015970793141379,,
30N,62924,Grating,8,11,0.0,SST,0.444624935972062,0.139959729174956,0.1797153259287722,0.2360943618885202,-0.0301996124897283,,
