Mouse,Date,Neuron,Group,Fano Factor
18S,072024,23,Plaid,0.5640057409456324
18S,072024,23,Grating,0.6054877036044148
18S,072024,23,Plaid Pref/Null,0.5640057409456324
18S,072024,24,Preferred,0.4323771418851973
18S,072024,24,Null,0.4509328412095365
18S,072024,24,Plaid,0.2911476591673036
18S,072024,24,Grating,0.5182247235173032
18S,072024,24,Plaid Pref/Null,0.2911476591673036
18S,072024,25,Preferred,1.1545886874582598
18S,072024,25,Null,0.3563993414864007
18S,072024,25,Plaid,0.34994404008142643
18S,072024,25,Grating,0.5323040846199326
18S,072024,25,Plaid Pref/Null,0.34994404008142643
18S,072024,26,Preferred,0.37193364648895405
18S,072024,26,Null,0.6355252710531891
18S,072024,26,Plaid,0.5561167651445544
18S,072024,26,Grating,0.6397243524869309
18S,072024,26,Plaid Pref/Null,0.5561167651445544
18S,072024,27,Preferred,2.905501117291959
18S,072024,27,Null,1.68826184344825
18S,072024,27,Plaid,1.071555460578019
18S,072024,27,Grating,2.2183727870576635
18S,072024,27,Plaid Pref/Null,1.071555460578019
18S,072024,28,Preferred,1.9819292164199465
18S,072024,28,Null,0.8767203431533226
18S,072024,28,Plaid,1.6028207152745628
18S,072024,28,Grating,0.7841557166377525
18S,072024,28,Plaid Pref/Null,1.6028207152745628
18S,072024,29,Preferred,1.7687463054431398
18S,072024,29,Null,1.6558580353726002
18S,072024,29,Plaid,2.3871732999434365
18S,072024,29,Grating,1.1726762511461706
18S,072024,29,Plaid Pref/Null,2.3871732999434365
18S,072024,30,Preferred,0.8853777234431921
18S,072024,30,Null,0.7503441929545709
18S,072024,30,Plaid,0.7795282517235061
18S,072024,30,Grating,0.7651518418707481
18S,072024,30,Plaid Pref/Null,0.7795282517235061
18S,072024,31,Preferred,0.6680151981534685
18S,072024,31,Null,0.4085166561629218
18S,072024,31,Plaid,0.4140102388883787
18S,072024,31,Grating,0.44649030581628735
18S,072024,31,Plaid Pref/Null,0.4140102388883787
18S,072024,32,Preferred,0.7368334002224073
18S,072024,32,Null,0.7324808605930582
18S,072024,32,Plaid,0.8159773148874366
18S,072024,32,Grating,0.6906419505929261
18S,072024,32,Plaid Pref/Null,0.8159773148874366
18S,072024,33,Preferred,0.9853969190253877
18S,072024,33,Null,0.47787782145231106
18S,072024,33,Plaid,0.3800910252629728
18S,072024,33,Grating,0.7169079153202826
18S,072024,33,Plaid Pref/Null,0.3800910252629728
18S,072024,34,Preferred,1.3337528882874314
18S,072024,34,Null,0.4525351276480132
18S,072024,34,Plaid,0.4479833102943802
18S,072024,34,Grating,0.6348322160365455
18S,072024,34,Plaid Pref/Null,0.4479833102943802
18S,072024,35,Preferred,0.6530757698991605
18S,072024,35,Null,0.5468661909101611
18S,072024,35,Plaid,0.7937826738819297
18S,072024,35,Grating,0.34323391654265084
18S,072024,35,Plaid Pref/Null,0.7937826738819297
18S,072024,36,Preferred,0.8188751504483996
18S,072024,36,Null,0.6529735404591573
18S,072024,36,Plaid,0.8546225433594787
18S,072024,36,Grating,0.5293914742402268
18S,072024,36,Plaid Pref/Null,0.8546225433594787
18S,072024,37,Preferred,1.4500280769879161
18S,072024,37,Null,0.4048181500084249
18S,072024,37,Plaid,0.5024591587681354
18S,072024,37,Grating,0.6995429129903263
18S,072024,37,Plaid Pref/Null,0.5024591587681354
18S,072024,38,Preferred,0.3213869988422321
18S,072024,38,Null,0.2864419611394923
18S,072024,38,Plaid,0.28940884459497784
18S,072024,38,Grating,0.2964248358382438
18S,072024,38,Plaid Pref/Null,0.28940884459497784
18S,072024,39,Preferred,1.1788705677032096
18S,072024,39,Null,0.8385055267247169
18S,072024,39,Plaid,1.3033769090325356
18S,072024,39,Grating,0.4522685347358398
18S,072024,39,Plaid Pref/Null,1.3033769090325356
18S,072024,40,Preferred,2.2715351135954833
18S,072024,40,Null,1.5955193249592527
18S,072024,40,Plaid,1.95029730157032
18S,072024,40,Grating,1.4151575123368683
18S,072024,40,Plaid Pref/Null,1.95029730157032
18S,072024,41,Preferred,0.8973767299014783
18S,072024,41,Null,0.3360947736548079
18S,072024,41,Plaid,0.2966840909265331
18S,072024,41,Grating,0.47176889264941285
18S,072024,41,Plaid Pref/Null,0.2966840909265331
18S,072024,42,Preferred,0.5861536217197302
18S,072024,42,Null,0.3043023066897967
18S,072024,42,Plaid,0.3594716355132948
18S,072024,42,Grating,0.350905621804545
18S,072024,42,Plaid Pref/Null,0.3594716355132948
18S,072024,43,Preferred,0.839473409568324
18S,072024,43,Null,0.7220822707303335
18S,072024,43,Plaid,0.6643266278428271
18S,072024,43,Grating,0.8041757133993165
18S,072024,43,Plaid Pref/Null,0.6643266278428271
18S,072024,44,Preferred,1.399250684167046
18S,072024,44,Null,0.9308250601712454
18S,072024,44,Plaid,0.6141668395133225
18S,072024,44,Grating,1.1563485011635983
18S,072024,44,Plaid Pref/Null,0.6141668395133225
18S,072024,45,Preferred,0.44301307788449135
18S,072024,45,Null,0.3534031247417652
18S,072024,45,Plaid,0.2958194379552807
18S,072024,45,Grating,0.39212920105526106
18S,072024,45,Plaid Pref/Null,0.2958194379552807
18S,072024,46,Preferred,0.6297895956800238
18S,072024,46,Null,0.35186065624831236
18S,072024,46,Plaid,0.511845552432526
18S,072024,46,Grating,0.5067130091165342
18S,072024,46,Plaid Pref/Null,0.511845552432526
18S,072024,47,Preferred,0.43036739296598847
18S,072024,47,Null,0.33434046231903564
18S,072024,47,Plaid,0.2967378521887478
18S,072024,47,Grating,0.36481856515109956
